$outgn
 [1] "GEN9"    "GEN116"  "GEN189"  "GEN238"  "GEN294"  "GEN327"  "GEN328" 
 [8] "GEN372"  "GEN385"  "GEN389"  "GEN461"  "GEN632"  "GEN645"  "GEN697" 
[15] "GEN732"  "GEN751"  "GEN767"  "GEN804"  "GEN893"  "GEN915"  "GEN929" 
[22] "GEN995"  "GEN1067" "GEN1078" "GEN1207" "GEN1237" "GEN1242"

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_zeae..NCPPB2538Dz"        "GEN254" 
 "Dickeya_zeae..Ech586Dz"           "GEN255" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN256" 
 "Dickeya_dadantii..3937Dd"         "GEN258" 
 "Dickeya_zeae..MK19Dz"             "GEN258" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN258" 
 "Dickeya_sp..S1Ds"                 "GEN259" 
 "Dickeya_solani..RNS08082331ADs"   "GEN259" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN260" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN260" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN261" 
 "Dickeya_solani..RNS050512ADs"     "GEN261" 
 "Dickeya_zeae..MS1Dz"              "GEN261" 
 "Dickeya_solani..PPO9019Ds"        "GEN262" 
 "Dickeya_aquatica..DW0440Da"       "GEN262" 
 "Dickeya_solani..PPO9019Ds"        "GEN263" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN264" 
 "Dickeya_solani..RNS050512ADs"     "GEN264" 
 "Dickeya_chrysanthem..NCPPB3533Dc" "GEN266" 
 "Dickeya_solani..M005Ds"           "GEN266" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN267" 
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN268" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN268" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN268" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN270" 
 "Dickeya_solani..RNS050512ADs"     "GEN270" 
 "Dickeya_zeae..MS1Dz"              "GEN270" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN271" 
 "Dickeya_solani..IFB0099Ds"        "GEN272" 
 "Dickeya_zeae..Ech586Dz"           "GEN273" 
 "Dickeya_sp..B16Ds"                "GEN274" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN274" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN275" 
 "Dickeya_zeae..DZ2QDz"             "GEN276" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN277" 
 "Dickeya_chrysanthem..L11Dc"       "GEN277" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN278" 
 "Dickeya_sp..B16Ds"                "GEN278" 
 "Dickeya_solani..RNS070773BDs"     "GEN279" 
 "Dickeya_solani..RNS050512ADs"     "GEN279" 
 "Dickeya_solani..RNS050512ADs"     "GEN280" 
 "Cedecea_neteri..ND14bCn"          "GEN280" 
 "Dickeya_dianthicola..NCPPB453Dd"  "GEN281" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN282" 
 "Dickeya_solani..PPO9019Ds"        "GEN282" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN283" 
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN283" 
 "Dickeya_sp..NCPPB569Ds"           "GEN283" 
 "Dickeya_solani..IFB0099Ds"        "GEN284" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN286" 
 "Dickeya_solani..M005Ds"           "GEN287" 
 "Dickeya_zeae..MS1Dz"              "GEN288" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN289" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN289" 
