$outgn
character(0)

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_solani..PPO9019Ds"        "GEN263" 
 "Dickeya_sp..S1Ds"                 "GEN263" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN264" 
 "Dickeya_zeae..MS1Dz"              "GEN264" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN264" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN264" 
 "Dickeya_chrysanthem..NCPPB3533Dc" "GEN266" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN267" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN267" 
 "Dickeya_zeae..MS1Dz"              "GEN270" 
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN271" 
 "Dickeya_solani..IFB0099Ds"        "GEN272" 
 "Dickeya_sp..B16Ds"                "GEN274" 
 "Dickeya_sp..MK7Ds"                "GEN274" 
 "Dickeya_zeae..DZ2QDz"             "GEN276" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN276" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN276" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN278" 
 "Dickeya_sp..B16Ds"                "GEN278" 
 "Dickeya_sp..MK7Ds"                "GEN278" 
 "Dickeya_solani..RNS070773BDs"     "GEN279" 
 "Cedecea_neteri..ND14bCn"          "GEN280" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN282" 
 "Dickeya_solani..PPO9019Ds"        "GEN282" 
 "Dickeya_zeae..DZ2QDz"             "GEN282" 
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN283" 
 "Dickeya_solani..IFB0099Ds"        "GEN284" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN286" 
 "Dickeya_zeae..MS1Dz"              "GEN288" 
 "Dickeya_solani..RNS070773BDs"     "GEN290" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN290" 
 "Dickeya_zeae..DZ2QDz"             "GEN291" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN292" 
 "Dickeya_zeae..EC1Dz"              "GEN292" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN292" 
 "Dickeya_sp..B16Ds"                "GEN293" 
 "Dickeya_zeae..Ech586Dz"           "GEN295" 
 "Dickeya_sp..2B12Ds"               "GEN296" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN296" 
 "Cedecea_neteri..ND14bCn"          "GEN297" 
 "Dickeya_solani..RNS070773BDs"     "GEN303" 
 "Dickeya_chrysanthem..L11Dc"       "GEN303" 
 "Dickeya_dadantii..NCPPB898Dd"     "GEN305" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN306" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN306" 
 "Dickeya_dadantii..3937Dd"         "GEN307" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN307" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN307" 
 "Serratia_sp..ATCC39006Ss"         "GEN307" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN308" 
 "Dickeya_solani..PPO9019Ds"        "GEN309" 
 "Dickeya_zeae..MS1Dz"              "GEN311" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN313" 
 "Dickeya_solani..M005Ds"           "GEN313" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN314" 
 "Dickeya_zeae..CSLRW192Dz"         "GEN315" 
 "Dickeya_zeae..Ech586Dz"           "GEN315" 
 "Dickeya_aquatica..localstrainDa"  "GEN315" 
 "Dickeya_sp..S1Ds"                 "GEN315" 
 "Dickeya_zeae..NCPPB3531Dz"        "GEN315" 
 "Dickeya_solani..GBBC2040Ds"       "GEN316" 
 "Dickeya_solani..RNS08082331ADs"   "GEN317" 
 "Dickeya_solani..MK10Ds"           "GEN317" 
 "Dickeya_solani..RNS070773BDs"     "GEN317" 
 "Dickeya_zeae..MK19Dz"             "GEN319" 
 "Dickeya_solani..MK16Ds"           "GEN320" 
 "Dickeya_solani..Ds0432-1Ds"       "GEN320" 
 "Dickeya_solani..IFB0099Ds"        "GEN320" 
 "Dickeya_sp..CSLRW240Ds"           "GEN320" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN321" 
 "Serratia_sp..ATCC39006Ss"         "GEN321" 
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN322" 
 "Serratia_sp..ATCC39006Ss"         "GEN322" 
 "Dickeya_zeae..EC1Dz"              "GEN323" 
 "Dickeya_zeae..DZ2QDz"             "GEN323" 
 "Dickeya_zeae..NCPPB3532Dz"        "GEN323" 
 "Dickeya_solani..RNS08082331ADs"   "GEN326" 
 "Serratia_sp..ATCC39006Ss"         "GEN327" 
 "Dickeya_solani..M005Ds"           "GEN328" 
 "Serratia_sp..ATCC39006Ss"         "GEN329" 
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN330" 
 "Dickeya_sp..CSLRW240Ds"           "GEN330" 
 "Dickeya_sp..S1Ds"                 "GEN331" 
 "Dickeya_sp..NCPPB3274Ds"          "GEN331" 
 "Dickeya_dianthicola..NCPPB3534Dd" "GEN332" 
 "Dickeya_zeae..NCPPB2538Dz"        "GEN332" 
 "Dickeya_solani..IPO2222Ds"        "GEN333" 
 "Dickeya_solani..M005Ds"           "GEN333" 
 "Dickeya_chrysanthem..M074Dc"      "GEN334" 
 "Dickeya_solani..M005Ds"           "GEN334" 
 "Dickeya_solani..M005Ds"           "GEN336" 
 "Dickeya_solani..M005Ds"           "GEN338" 
 "Dickeya_dadantii..3937Dd"         "GEN340" 
 "Dickeya_dianthicola..RNS049Dd"    "GEN341" 
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN341" 
 "Dickeya_dianthicola..IPO980Dd"    "GEN342" 
 "Dickeya_chrysanthem..M074Dc"      "GEN343" 
